# Mean Variance nbElements 
0 0.0865237 0.0  1 
1 0.06281524999999999 0.00040340521650249987  2 
2 0.044273650000000005 0.0005065475843225  4 
3 0.031747012500000005 0.0003907210196785937  8 
4 0.025372805 0.0002709812772591821  14 
5 0.023038725625 0.0002601176208276246  16 
6 0.021964975000000005 0.00018795732943887504  20 
7 0.02001792384615385 0.0001561644701314698  26 
8 0.02128341363636364 0.00015978564731572317  22 
9 0.022081345000000006 0.00016414665466547498  20 
10 0.021838503000000002 0.000171397215370121  20 
11 0.023612314375 0.00017844469519997461  16 
12 0.02482145 0.00013997638239375  16 
13 0.02078878541666666 0.00011532949910510816  24 
14 0.02105645833333333 9.386313721826391e-05  24 
15 0.020158487500000006 8.859704196359374e-05  24 
16 0.020799479166666662 6.466549544414932e-05  24 
17 0.022466694444444445 5.0251840524969135e-05  18 
18 0.019312393076923076 4.131913789015208e-05  26 
19 0.018720330769230766 2.6148971685207117e-05  26 
20 0.018231755 2.3809949350474994e-05  20 
21 0.019290041666666667 1.2305114472430556e-05  12 
22 0.017021278571428575 4.5005686716836734e-06  14 
23 0.0150053 1.2673599999999535e-09  2 
24 nan nan  0 
