# File generated by Xml2graph the edges are represented by the vertex id (IdA, IdB)and it contains also other parameter related to the edges: 
# IdA IdB flow resistance
# Global parameters: pPerf: 13300.0 ; pTerm: 7980.0
0 1 8330.0 2.27355 
770 2 316.54 0.451318 
770 3 2798.88 1.42825 
178 4 3365.32 1.62357 
178 5 3115.42 1.57778 
52 6 7330.4 2.17391 
52 7 949.62 0.816687 
1340 8 6497.4 2.10228 
1340 9 824.67 0.773758 
476 10 3265.36 1.51785 
476 11 24.99 0.0976528 
1008 12 724.71 0.642404 
1008 13 1574.37 1.06034 
338 14 658.07 0.620918 
338 15 433.16 0.542701 
488 16 599.76 0.631201 
488 17 1366.12 0.995585 
968 18 882.98 0.751288 
968 19 224.91 0.368811 
1002 20 116.62 0.240642 
1002 21 208.25 0.351711 
962 22 699.72 0.639823 
962 23 33.32 0.122002 
896 24 291.55 0.380384 
896 25 74.97 0.180169 
1006 26 366.52 0.439361 
1006 27 74.97 0.187863 
1462 28 674.73 0.624442 
1462 29 49.98 0.141072 
742 30 149.94 0.285791 
742 31 83.3 0.211314 
1772 32 199.92 0.344585 
1772 33 108.29 0.209257 
650 34 349.86 0.442783 
650 35 183.26 0.376154 
1274 36 66.64 0.147785 
1274 37 191.59 0.298616 
312 38 49.98 0.128176 
312 39 491.47 0.56594 
876 40 49.98 0.125526 
876 41 174.93 0.300651 
1384 42 599.76 0.587661 
1384 43 183.26 0.34834 
1500 44 2157.47 1.23131 
1500 45 549.78 0.633176 
850 46 449.82 0.493567 
850 47 224.91 0.343554 
778 48 341.53 0.442959 
778 49 216.58 0.389818 
1566 50 49.98 0.139 
1566 51 49.98 0.180749 
1 52 8280.02 2.23941 
1 53 49.98 0.160455 
1514 54 33.32 0.102335 
1514 55 74.97 0.197267 
1386 56 2873.85 1.374 
1386 57 74.97 0.186989 
894 58 2032.52 1.1561 
894 59 66.64 0.182898 
736 60 224.91 0.365938 
736 61 91.63 0.216252 
262 62 391.51 0.443554 
262 63 41.65 0.140882 
180 64 24.99 0.0948181 
180 65 33.32 0.178124 
316 66 533.12 0.552313 
316 67 66.64 0.149469 
1394 68 191.59 0.277519 
1394 69 16.66 0.0486543 
1988 70 41.65 0.116598 
1988 71 33.32 0.130443 
1858 72 2382.38 1.24235 
1858 73 83.3 0.206772 
28 74 583.1 0.571052 
28 75 91.63 0.230761 
1680 76 491.47 0.509356 
1680 77 83.3 0.196824 
816 78 74.97 0.172043 
816 79 66.64 0.229556 
1668 80 566.44 0.564751 
1668 81 24.99 0.0630994 
666 82 241.57 0.368512 
666 83 33.32 0.140692 
112 84 808.01 0.698983 
112 85 66.64 0.200078 
1778 86 549.78 0.60039 
1778 87 41.65 0.103189 
1704 88 66.64 0.142617 
1704 89 116.62 0.246274 
1272 90 383.18 0.489665 
1272 91 66.64 0.185381 
308 92 108.29 0.183498 
308 93 208.25 0.354373 
1018 94 1182.86 0.890513 
1018 95 149.94 0.272601 
858 96 83.3 0.192633 
858 97 33.32 0.0799431 
440 98 1449.42 0.929889 
440 99 41.65 0.135183 
1672 100 158.27 0.272303 
1672 101 8.33 0.0688738 
1868 102 1141.21 0.848563 
1868 103 174.93 0.277335 
794 104 1116.22 0.791968 
794 105 16.66 0.0572346 
758 106 466.48 0.511511 
758 107 33.32 0.0791115 
1888 108 16.66 0.0809812 
1888 109 66.64 0.189806 
1270 110 166.6 0.298931 
1270 111 49.98 0.133317 
18 112 874.65 0.726652 
18 113 8.33 0.00760737 
1740 114 249.9 0.380604 
1740 115 191.59 0.355131 
406 116 2490.67 1.31586 
406 117 299.88 0.430667 
